COUNT,ID,TILENAME,RA_CENT,DEC_CENT,RAC1,RAC2,RAC3,RAC4,DECC1,DECC2,DECC3,DECC4,RACMIN,RACMAX,DECCMIN,RA_SIZE,DEC_SIZE,DECCMAX,URAMIN,URAMAX,UDECMIN,UDECMAX
72353,117418,DES0142-4206,25.651607,-42.102778,26.146723,25.15649,25.162162,26.141052,-42.466949,-42.466949,-41.736503,-41.736503,25.15649,26.146723,-42.466949,0.990233,0.730446,-41.736503,25.170513,26.132701,-42.459722,-41.745833
59379,96264,DES0213-0833,33.393545,-8.55,33.76324,33.023849,33.024557,33.762532,-8.915054,-8.915054,-8.184596,-8.184596,33.023849,33.76324,-8.915054,0.73939,0.730457,-8.184596,33.032589,33.754501,-8.906944,-8.193056
47168,97786,DES0337-1041,54.488211,-10.691667,54.860348,54.116075,54.116969,54.859453,-11.056675,-11.056675,-10.326218,-10.326218,54.116075,54.860348,-11.056675,0.744273,0.730457,-10.326218,54.124961,54.851462,-11.048611,-10.334722
67004,124550,DES0035-5748,8.799948,-57.808333,9.492501,8.107396,8.121279,9.478617,-58.171694,-58.171694,-57.441274,-57.441274,8.107396,9.492501,-58.171694,1.385105,0.73042,-57.441274,8.129949,9.469948,-58.165278,-57.451389
69361,107404,DES0502-2458,75.648677,-24.969444,76.052769,75.244585,75.246977,76.050377,-25.33413,-25.33413,-24.603675,-24.603675,75.244585,76.052769,-25.33413,0.808184,0.730455,-24.603675,75.25493,76.042424,-25.326389,-24.6125
71822,117407,DES0100-4206,15.06754,-42.102778,15.562656,14.572424,14.578095,15.556985,-42.466949,-42.466949,-41.736503,-41.736503,14.572424,15.562656,-42.466949,0.990233,0.730446,-41.736503,14.586446,15.548634,-42.459722,-41.745833
68416,110023,DES0049-2915,12.37017,-29.252778,12.79029,11.95005,11.953039,12.787301,-29.617352,-29.617352,-28.886899,-28.886899,11.95005,12.79029,-29.617352,0.840241,0.730453,-28.886899,11.961052,12.779288,-29.609722,-28.895833
59292,105969,DES0226-2249,36.605267,-22.827778,37.002607,36.207928,36.210054,37.00048,-23.192515,-23.192515,-22.46206,-22.46206,36.207928,37.002607,-23.192515,0.794679,0.730455,-22.46206,36.217989,36.992545,-23.184722,-22.470833
68919,88720,DES0231+0209,37.876061,2.158333,38.241469,37.510653,37.510478,38.241644,1.793061,1.793061,2.523518,2.523518,37.510478,38.241644,1.793061,0.731167,0.730458,2.523518,37.518863,38.233259,1.801389,2.515278
56132,87194,DES0149+0418,27.396938,4.3,27.76303,27.030846,27.030495,27.763381,3.934684,3.934684,4.665141,4.665141,27.030495,27.763381,3.934684,0.732886,0.730458,4.665141,27.038986,27.75489,3.943056,4.656944
67055,121919,DES0125-5123,21.378677,-51.383333,21.968586,20.788767,20.798108,21.959246,-51.747093,-51.747093,-51.016659,-51.016659,20.788767,21.968586,-51.747093,1.179819,0.730435,-51.016659,20.806748,21.950605,-51.740278,-51.026389
